pais,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2021
Afghanistan,,,,,,,,,,,,,,,0.18
Angola,0.5872,0.5851,0.5843,0.5832,0.6296,0.5937,,0.6163,0.5878,0.59,0.565,0.56,0.602,0.64,0.646
Albania,0.6613,0.6885,0.6491,0.6532,0.6808,0.7129,0.6663,0.6324,0.6534,0.671,0.668,0.673,0.701,0.743,0.748
United Arab Emirates,0.4027,0.421,0.4198,0.4148,0.4605,0.4898,0.4751,0.4672,0.5152,0.519,0.456,0.459,0.439,0.472,0.51
Argentina,0.5513,0.6128,0.607,0.6029,0.6024,0.6124,0.6075,0.5887,0.6312,0.615,0.616,0.596,0.599,0.623,0.639
Armenia,,0.7211,0.6969,0.6712,0.669,0.658,0.6446,0.6384,0.6478,0.664,0.671,0.671,0.675,0.673,0.655
Australia,0.7259,0.744,0.7307,0.7477,0.7428,0.7565,0.7593,0.7879,0.801,0.766,0.719,0.724,0.718,0.722,0.7
Austria,0.5526,0.5824,0.5872,0.5701,0.5952,0.6245,0.6515,0.6642,0.6704,0.705,0.65,0.66,0.658,0.659,0.665
Azerbaijan,,0.7319,0.7863,0.6863,0.6352,0.642,0.6489,0.6591,0.7087,0.701,0.728,0.717,0.716,0.748,0.748
Burundi,,,,,,0.8355,0.8322,0.8307,0.863,0.845,0.865,0.911,0.839,0.837,0.855
Belgium,0.6199,0.6684,0.6519,0.653,0.7097,0.7187,0.7241,0.7367,0.7577,0.762,0.731,0.716,0.714,0.714,0.709
Benin,0.6175,0.5429,0.5162,0.5463,0.6049,0.6494,0.7591,0.7419,,0.764,0.795,0.864,0.85,0.847,0.814
Burkina Faso,0.6387,0.6313,0.6377,0.6395,0.6383,0.6266,0.7376,0.7467,0.722,0.721,0.714,0.716,0.623,0.614,0.689
Bangladesh,0.423,0.4374,0.4436,0.4552,0.4732,0.4932,0.4799,0.4954,0.4774,0.462,0.41,0.465,0.441,0.438,0.418
Bulgaria,0.6132,0.6992,0.6975,0.6935,0.6843,0.6867,0.696,0.7067,0.7288,0.701,0.716,0.71,0.708,0.715,0.738
Bahrain,0.3829,0.3903,0.3988,0.483,0.4967,0.5079,0.4967,0.5146,0.4803,0.597,0.475,0.537,0.515,0.51,0.518
"Bahamas, The",,,,0.8264,0.8288,0.9135,0.8359,0.8244,0.8223,0.823,0.827,0.871,0.863,0.838,0.857
Bosnia and Herzegovina,,,,,,,,,,,0.581,0.575,0.599,0.614,0.608
Belarus,,0.7282,0.726,0.7256,,,,,0.8203,0.813,0.823,0.827,0.838,0.837,0.84
Belize,,0.5521,0.6094,0.6215,0.6362,0.6162,0.6414,0.6458,0.653,0.651,0.686,0.772,0.648,0.68,0.749
Bolivia,0.5594,0.6072,0.5837,0.5906,0.5957,0.6352,0.6365,0.6841,0.6379,0.634,0.619,0.692,0.63,0.623,0.595
Brazil,0.6044,0.6449,0.6526,0.6369,0.6431,0.649,0.6499,0.6561,0.6491,0.642,0.64,0.655,0.645,0.653,0.665
Barbados,,,0.7706,0.7854,0.787,0.7843,0.7905,0.7907,0.7885,0.848,0.825,0.877,0.871,0.808,0.837
Brunei Darussalam,,,0.57,0.6239,0.7404,0.7552,0.7403,0.7372,0.736,0.78,0.696,0.692,0.752,0.752,0.722
Bhutan,,,,,,,,0.7528,0.6368,0.641,0.619,0.622,0.619,0.544,0.556
Botswana,0.6926,0.6397,0.6492,0.742,0.7359,0.7185,0.7076,0.7108,0.8166,0.8,0.819,0.822,0.802,0.779,0.799
Canada,0.7296,0.7428,0.7441,0.7641,0.7768,0.7759,0.7877,0.7959,0.7928,0.773,0.732,0.744,0.748,0.751,0.741
Switzerland,0.7091,0.676,0.6631,0.6854,0.7267,0.7419,0.7518,0.7681,0.7797,0.798,0.745,0.743,0.739,0.746,0.743
Chile,0.5138,0.5172,0.5154,0.5213,0.5338,0.5411,0.5475,0.5445,0.5523,0.57,0.565,0.573,0.585,0.608,0.61
China,0.6206,0.6478,0.6915,0.6955,0.6927,0.6825,0.6753,0.6752,0.6555,0.657,0.656,0.654,0.653,0.651,0.701
Cote d'Ivoire,,,,,0.539,0.5569,0.5468,0.5561,0.5817,0.603,0.575,0.575,0.621,0.545,0.664
Cameroon,0.4951,0.5114,0.5211,0.5498,0.5414,0.5252,0.6834,0.7258,,0.724,0.727,0.725,0.816,0.689,0.706
"Congo, Dem. Rep.",,,,,,,,,,,,,0.613,0.589,0.571
Colombia,0.6605,0.691,0.6966,0.694,0.6941,0.5984,0.6207,0.7275,0.7107,0.746,0.749,0.74,0.733,0.735,0.708
Cabo Verde,,,,,,,0.6231,0.602,0.6077,0.591,0.61,0.615,0.684,0.79,0.761
Costa Rica,0.5223,0.5536,0.586,0.6136,0.5787,0.5935,0.5987,0.5955,0.6155,0.587,0.606,0.62,0.614,0.607,0.624
Cuba,,0.6807,0.611,0.6034,0.6092,0.6656,0.6655,0.6736,0.5798,0.579,0.578,0.629,0.627,0.617,0.63
Cyprus,0.5618,0.6021,0.61,0.6168,0.63,0.6175,0.6149,0.6353,0.656,0.643,0.665,0.679,0.679,0.681,0.694
Czech Republic,0.627,0.6295,0.6366,0.6443,0.6205,0.5961,0.6026,0.6039,0.6216,0.636,0.647,0.643,0.651,0.657,0.662
Germany,0.6694,0.6997,0.6877,0.6956,0.7138,0.727,0.7399,0.712,0.7388,0.737,0.691,0.72,0.734,0.723,0.706
Denmark,0.7081,0.7336,0.7116,0.7477,0.7438,0.7672,0.7724,0.7639,0.8053,0.788,0.735,0.728,0.734,0.735,0.736
Dominican Republic,0.559,0.5851,0.6008,0.647,0.6516,0.5969,0.6052,0.6751,0.6794,0.648,0.658,0.638,0.65,0.66,0.646
Algeria,0.4428,0.4643,0.468,0.4697,0.4666,0.4452,0.3776,0.3307,0.393,0.41,0.435,0.442,0.452,0.461,0.456
Ecuador,0.4994,0.6344,0.6234,0.6302,0.5985,0.5838,0.5997,0.6253,0.7154,0.677,0.631,0.642,0.657,0.68,0.675
"Egypt, Arab Rep.",0.4157,0.421,0.4367,0.4498,0.453,0.4573,0.4536,0.4426,0.4609,0.441,0.444,0.413,0.421,0.438,0.421
Spain,0.5391,0.5887,0.577,0.6017,0.624,0.6328,0.6462,0.6521,0.647,0.674,0.668,0.657,0.66,0.681,0.699
Estonia,0.6824,0.6935,0.7004,0.705,0.7193,0.7201,0.7193,0.7228,0.7055,0.711,0.703,0.726,0.729,0.736,0.754
Ethiopia,0.5683,0.5852,0.5654,0.5975,0.6316,0.6373,0.6219,0.6148,0.6177,0.608,0.599,0.604,0.606,0.568,0.56
Finland,0.7341,0.7225,0.7408,0.7504,0.7566,0.7681,0.7847,0.7727,0.7859,0.815,0.794,0.793,0.786,0.788,0.806
Fiji,,,,0.5343,0.4983,0.4972,0.4974,0.4975,0.5065,0.512,,0.479,0.603,0.584,0.568
France,0.5247,0.646,0.6631,0.6591,0.661,0.6587,0.6687,0.669,0.7036,0.699,0.676,0.683,0.685,0.691,0.71
United Kingdom,0.6643,0.6947,0.6918,0.7064,0.721,0.7224,0.7305,0.732,0.714,0.724,0.7,0.705,0.705,0.704,0.716
Georgia,0.6565,0.6304,0.635,0.6753,0.6751,0.6725,0.6766,0.6741,0.6751,0.692,0.679,0.669,0.654,0.701,0.705
Ghana,0.7535,0.7806,0.7445,0.7548,0.7577,0.7581,0.7543,0.7662,0.6772,0.808,0.805,0.784,0.753,0.642,0.598
Guinea,,,,,,,,,0.6561,0.666,0.745,0.813,0.82,0.803,0.839
"Gambia, The",0.6876,0.6866,0.7063,0.7412,0.7588,0.7561,0.7716,,,0.697,0.685,0.627,0.598,0.584,0.607
Greece,0.5855,0.6302,0.6314,0.6067,0.6209,0.6242,0.6329,0.647,0.6434,0.644,0.649,0.67,0.684,0.675,0.672
Guatemala,0.4425,0.4715,0.4746,0.5061,0.528,0.5236,0.5259,0.5422,0.6622,0.627,0.613,0.626,0.623,0.623,0.56
Guyana,,,,0.6134,0.5915,0.5985,0.6029,0.5885,0.5652,0.569,,,,,0.638
Honduras,0.4777,0.5488,0.6338,0.6048,0.5904,0.5972,0.6009,0.6061,0.6391,0.617,0.623,0.669,0.673,0.713,0.721
Croatia,0.6507,0.6783,0.6554,0.6458,0.6606,0.6676,0.6691,0.6753,0.6753,0.664,0.672,0.689,0.681,0.674,0.666
Hungary,0.6402,0.653,0.6687,0.6738,0.6894,0.6537,0.6591,0.6677,0.6683,0.685,0.672,0.675,0.68,0.672,0.669
Indonesia,0.5982,0.5986,0.5714,0.5722,0.575,0.5642,0.565,0.5881,0.5984,0.593,0.598,0.61,0.629,0.685,0.647
India,0.3967,0.3977,0.399,0.4125,0.4025,0.396,0.4588,0.4465,0.4096,0.383,0.408,0.376,0.385,0.354,0.326
Ireland,0.6404,0.667,0.6811,0.6918,0.7409,0.7322,0.7514,0.745,0.7543,0.777,0.709,0.71,0.725,0.732,0.733
"Iran, Islamic Rep.",0.3586,0.3952,0.4485,0.3768,0.4257,0.4443,0.4116,0.3655,0.3589,0.357,0.357,0.357,0.376,0.381,0.375
Iraq,,,,,,,,,,,,,0.264,0.227,0.228
Iceland,0.7107,0.7213,0.7323,0.7502,0.754,0.7453,0.754,0.7684,0.8169,0.836,0.806,0.798,0.793,0.839,0.846
Israel,0.641,0.6707,0.6589,0.693,0.6883,0.6721,0.6824,0.6915,0.6392,0.671,0.678,0.681,0.684,0.688,0.705
Italy,0.5265,0.5432,0.5872,0.5898,0.5893,0.5976,0.5913,0.5973,0.5738,0.603,0.574,0.571,0.592,0.595,0.609
Jamaica,0.7377,0.7009,0.7301,0.7429,0.7535,0.7508,0.7214,0.7317,0.7284,0.678,0.733,0.725,0.747,0.767,0.768
Jordan,0.4421,0.4832,0.4889,0.4524,0.4225,0.4333,0.4296,0.4145,0.358,0.35,0.381,0.377,0.375,0.408,0.538
Japan,0.5453,0.5489,0.544,0.5488,0.5718,0.5673,0.5756,0.5841,0.6182,0.611,0.569,0.58,0.595,0.598,0.604
Kazakhstan,0.7133,0.7366,0.7413,0.7566,0.7633,0.7491,0.7675,0.7706,0.7414,0.749,0.745,0.744,0.741,0.742,0.728
Kenya,0.6575,0.6488,0.6928,0.6832,0.6151,0.6159,0.7243,0.7146,0.8104,0.778,0.71,0.72,0.734,0.598,0.672
Kyrgyz Republic,0.6865,0.6529,0.6816,0.6866,0.6796,0.7071,0.7039,0.6789,0.6801,0.658,0.651,0.664,0.662,0.654,0.646
Cambodia,0.6754,0.664,0.6588,0.6488,0.6383,0.6315,0.6402,0.6514,0.654,0.681,0.659,0.698,0.719,0.759,0.729
"Korea, Rep.",0.4805,0.5803,0.4867,0.5204,0.5203,0.4934,0.5088,0.5036,0.5116,0.557,0.537,0.533,0.549,0.555,0.586
Kuwait,0.5773,0.6036,0.5697,0.5571,0.5369,0.5407,0.5567,0.5252,0.6083,0.615,0.52,0.518,0.541,0.589,0.498
Lao PDR,,,,,,,,0.7999,0.8016,0.811,0.832,0.769,0.915,0.839,0.915
Lebanon,,,,,0.4483,0.4482,0.4425,0.442,0.4321,0.439,0.44,0.44,0.432,0.442,0.487
Liberia,,,,,,,,,0.6366,0.62,0.612,0.695,0.729,0.714,0.717
Sri Lanka,0.5447,0.557,0.5598,0.5734,0.6008,0.5598,0.5596,0.559,0.5908,0.577,0.53,0.521,0.549,0.558,0.547
Lesotho,0.6069,0.6612,0.7311,0.8013,0.8789,0.874,0.8163,0.7756,0.7449,0.672,0.672,0.655,0.65,0.662,0.647
Lithuania,0.7133,0.7612,0.7421,0.7481,0.7555,0.744,0.7551,0.7688,0.7384,0.759,0.757,0.749,0.765,0.795,0.808
Luxembourg,0.5602,0.606,0.6125,0.6381,0.7507,0.7449,0.8147,0.8162,0.7529,0.766,0.75,0.667,0.693,0.721,0.691
Latvia,0.7051,0.7344,0.7458,0.7535,0.7516,0.7498,0.7618,0.7767,0.7931,0.784,0.785,0.798,0.807,0.81,0.822
Morocco,0.4612,0.4006,0.3926,0.4477,0.4077,0.4177,0.4154,0.3949,0.4,0.378,0.38,0.391,0.404,0.405,0.407
Moldova,0.7604,0.7785,0.8017,0.7323,0.7707,0.7641,0.7608,0.7407,0.8077,0.797,0.795,0.811,0.785,0.788,0.811
Madagascar,0.5776,0.6086,0.6962,0.6876,0.6708,0.6781,0.692,0.7033,0.7335,0.696,0.739,0.716,0.714,0.769,0.754
Maldives,,0.5138,0.5661,0.5788,0.5907,0.6019,0.5968,0.5914,0.5904,0.589,0.59,0.641,0.622,0.518,0.491
Mexico,0.4801,0.4891,0.4789,0.5089,0.5212,0.5318,0.5382,0.5499,0.5519,0.545,0.544,0.518,0.574,0.574,0.59
"Macedonia, FYR",0.6707,0.6653,0.6466,0.6656,0.6775,0.6761,0.665,0.6611,0.6511,0.671,0.658,0.636,0.62,0.635,0.647
Mali,0.6655,0.6946,0.7112,0.5969,0.5137,0.5274,0.5677,0.5668,0.5547,0.605,0.594,0.518,0.507,0.591,0.475
Malta,0.5099,0.5488,0.5605,0.5611,0.5428,0.5281,0.5498,0.5655,0.5686,0.573,0.595,0.61,0.614,0.621,0.656
Myanmar,,,,,,,,,,,,0.754,0.738,0.63,0.657
Montenegro,,,,,,,,,0.7109,0.67,0.647,0.653,0.696,0.712,0.748
Mongolia,0.7043,0.6682,0.7563,0.8334,0.8746,0.85,0.8387,0.8338,0.8082,0.783,0.766,0.776,0.78,0.751,0.769
Mozambique,,0.797,0.8345,0.8133,0.8113,0.7816,0.7988,0.7897,0.7892,0.773,0.798,0.789,0.675,0.648,0.655
Mauritania,0.4992,0.5046,0.4894,0.4908,0.4668,0.4639,0.4955,0.3651,0.4661,0.447,0.469,0.417,0.408,0.411,0.44
Mauritius,0.483,0.5469,0.5269,0.5465,0.5491,0.5441,0.5536,0.5735,0.5507,0.534,0.55,,0.585,0.596,0.6
Malawi,0.6647,0.6755,0.6872,0.6925,0.6979,0.7003,0.8224,0.8253,0.8298,0.809,0.799,0.654,0.609,0.6,0.624
Malaysia,0.5924,0.5671,0.5548,0.5653,0.5765,0.5941,0.5988,0.5904,0.6174,0.634,0.658,0.654,0.656,0.639,0.638
Namibia,0.6135,0.6717,0.7091,0.7201,0.7386,0.7273,0.71,0.698,0.7326,0.775,0.781,0.813,0.804,0.789,0.794
Niger,,,,,,,,,,,,,,,0.673
Nigeria,0.6116,0.6209,0.6459,0.6163,0.6044,0.5964,0.6299,0.6965,0.7064,0.691,0.7,0.728,0.661,0.738,0.687
