Dia,Casos
0,3
1,19
2,161
3,277
4,421
5,662
6,1276
7,2298
8,3219
9,3843
10,5008
11,6057
12,6052
13,5950
14,5997
15,5550
16,5402
17,5283
18,5490
19,5326
20,6871
21,6425
22,5868
23,5605
24,6016
25,6240
26,7595
27,7488
28,6595
29,5939
30,7065
31,6573
32,7166
33,8995
34,10468
35,9066
36,11700
37,10567
38,13929
39,18875
40,27564
41,30155
42,30863
43,25770
44,27797
45,39772
46,37768
47,32794
48,22856
49,20721
50,16657
51,15093
52,15173
53,13454
54,10047
55,10557
56,8925
57,6162
58,7728
59,6492
60,5580
61,4255
62,3417
63,3377
64,3395
65,3562
66,4082
67,5004
68,6799
69,9936
70,14648
71,22654
72,27410
73,30970
74,31147
75,29632
76,25688
77,20601
78,17335
79,13698
80,10953
81,8733
82,8494
83,5486
84,4530
85,3784
86,3259
87,2215
88,2432
89,1706
