Entidad,Municipio,Habitantes,Mujeres,Hombres,Viviendas,ViviendasConLavadora,PorcentajeVivLavadora
Aguascalientes,Aguascalientes,948990,486917,462073,313256,234193,0.7476089843450724
Aguascalientes,Asientos,51536,26275,25261,15353,10306,0.6712694587377059
Aguascalientes,Calvillo,58250,29687,28563,20842,13560,0.6506093465118511
Aguascalientes,Cosío,17000,8708,8292,4845,3203,0.66109391124871
Aguascalientes,Jesús María,129929,65710,64219,41550,29188,0.7024789410348977
Aguascalientes,Pabellón de Arteaga,47646,24269,23377,13541,9958,0.7353962041208183
Aguascalientes,Rincón de Romos,57369,29268,28101,16527,11214,0.6785260482846251
Aguascalientes,San José de Gracia,9552,5020,4532,3410,1977,0.5797653958944281
Aguascalientes,Tepezalá,22485,11371,11114,6592,4547,0.6897754854368932
Aguascalientes,El Llano,20853,10407,10446,6598,4159,0.6303425280387996
Aguascalientes,San Francisco de los Romo,61997,31292,30705,21458,13405,0.624708733339547
Baja California,Ensenada,443807,222500,221307,171203,111627,0.6520154436546088
Baja California,Mexicali,1049792,520544,529248,385642,289682,0.7511681818889021
Baja California,Tecate,108440,51310,57130,42401,26554,0.6262588146505979
Baja California,Tijuana,1922523,953783,968740,636034,471155,0.7407701475078377
Baja California,Playas de Rosarito,126890,62504,64386,49770,28797,0.5786015672091621
Baja California,San Quintín,117568,57790,59778,40899,18832,0.4604513557788699
Baja California Sur,Comondú,73021,36217,36804,27446,15934,0.5805581869853531
Baja California Sur,Mulegé,64022,30951,33071,26741,12895,0.48221831644291535
Baja California Sur,La Paz,292241,146438,145803,116231,68316,0.5877605802238646
Baja California Sur,Los Cabos,351111,170167,180944,121645,62788,0.5161576719141765
Baja California Sur,Loreto,18052,8795,9257,7810,4101,0.5250960307298336
Campeche,Calkiní,59232,30062,29170,19433,10900,0.5609015592034169
Campeche,Campeche,294077,152522,141555,101576,69521,0.6844234858628022
Campeche,Carmen,248845,125802,123043,88379,59061,0.6682696115593071
Campeche,Champotón,78170,39140,39030,26787,15932,0.5947661178930078
Campeche,Hecelchakán,31917,16204,15713,10058,6164,0.6128454961224895
Campeche,Hopelchén,42140,20812,21328,12573,7394,0.5880855802115644
Campeche,Palizada,8683,4260,4423,3349,1847,0.5515079128097939
Campeche,Tenabo,11452,5655,5797,3921,2302,0.5870951287936751
Campeche,Escárcega,59923,30455,29468,22289,11675,0.523800978060927
Campeche,Calakmul,31714,15613,16101,10343,4890,0.47278352508943244
Campeche,Candelaria,46913,23239,23674,17817,8027,0.45052477970477633
Campeche,Seybaplaya,15297,7660,7637,5109,3493,0.6836954394206303
Coahuila de Zaragoza,Abasolo,1022,487,535,696,313,0.44971264367816094
Coahuila de Zaragoza,Acuña,163058,81115,81943,56926,39721,0.6977655201489653
Coahuila de Zaragoza,Allende,23056,11610,11446,8907,6178,0.6936117660267206
Coahuila de Zaragoza,Arteaga,29578,14623,14955,14621,7506,0.513371178441967
Coahuila de Zaragoza,Candela,1643,800,843,1028,412,0.40077821011673154
Coahuila de Zaragoza,Castaños,29128,14532,14596,10691,7085,0.6627069497708353
Coahuila de Zaragoza,Cuatro Ciénegas,12715,6350,6365,5275,3067,0.5814218009478673
Coahuila de Zaragoza,Escobedo,3047,1518,1529,1322,770,0.5824508320726173
Coahuila de Zaragoza,Francisco I. Madero,59035,29818,29217,20022,12725,0.6355508940165817
Coahuila de Zaragoza,Frontera,82409,41200,41209,26600,20478,0.7698496240601503
Coahuila de Zaragoza,General Cepeda,11898,5807,6091,4992,2753,0.5514823717948718
Coahuila de Zaragoza,Guerrero,1643,760,883,961,439,0.45681581685744016
Coahuila de Zaragoza,Hidalgo,1735,839,896,787,388,0.49301143583227447
Coahuila de Zaragoza,Jiménez,9502,4645,4857,4192,2272,0.5419847328244275
Coahuila de Zaragoza,Juárez,1584,798,786,973,419,0.4306269270298047
Coahuila de Zaragoza,Lamadrid,1764,836,928,1021,485,0.47502448579823703
Coahuila de Zaragoza,Matamoros,118337,59645,58692,37230,24606,0.6609186140209509
Coahuila de Zaragoza,Monclova,237951,119893,118058,78416,61597,0.7855157110793716
Coahuila de Zaragoza,Morelos,7928,3993,3935,3299,2151,0.6520157623522279
